Date,Revenue,E-commerce size,Cloud computing
2024,1.87792E+11,6.33E+12,7.255E+11
2024,1.58877E+11,6.33E+12,7.255E+11
2024,1.47977E+11,6.33E+12,7.255E+11
2024,1.43313E+11,6.33E+12,7.255E+11
2023,1.69961E+11,5.78E+12,6.31E+11
2023,1.43083E+11,5.78E+12,6.31E+11
2023,1.34383E+11,5.78E+12,6.31E+11
2023,1.27358E+11,5.78E+12,6.31E+11
2022,1.49204E+11,5.31E+12,4.9E+11
2022,1.27101E+11,5.31E+12,4.9E+11
2022,1.21234E+11,5.31E+12,4.9E+11
2022,1.16444E+11,5.31E+12,4.9E+11
2021,1.37412E+11,4.99E+12,4.45E+11
2021,1.10812E+11,4.99E+12,4.45E+11
2021,1.1308E+11,4.99E+12,4.45E+11
2021,1.08518E+11,4.99E+12,4.45E+11
2020,1.25555E+11,4.25E+12,3E+11
2020,96145000000,4.25E+12,3E+11
2020,88912000000,4.25E+12,3E+11
2020,75452000000,4.25E+12,3E+11
2019,87437000000,3.35E+12,2.6E+11
2019,69981000000,3.35E+12,2.6E+11
2019,63404000000,3.35E+12,2.6E+11
2019,59700000000,3.35E+12,2.6E+11
